korean,actual translation,Google translation,Microsoft translation,DeepL translation
"신기하게도, 뇌의 다른 부분에 영향을 주는 다른 신경학적 질병들도 잘못 접힌 단백질과 연관이 있다는 점이 뭔가 일반적인 해법이 나올 수 있음을 암시합니다. 알츠하이머 병 뿐만 아니라 다른 신경학적 질병들도 치료할 수 있는 방법이 될수도 있겠지요.","Interestingly enough, other neurologic diseases which affect very different parts of the brain also show tangles of misfolded protein, which suggests that the approach might be a general one, and might be used to cure many neurologic diseases, not just Alzheimer’s disease.","Curiously, other neurological diseases affecting different parts of the brain have also been linked to misfolded proteins, suggesting that a general solution may be possible. It could be a way to treat not only Alzheimer's disease but also other neurological diseases.","Curiously, the fact that other neurological diseases affecting other parts of the brain are also linked to misfolded proteins suggests that there may be some general solution. It may be a way to treat not only Alzheimer's disease but also other neurological diseases.","Interestingly, other neurological diseases that affect different parts of the brain have also been linked to misfolded proteins, suggesting that there may be a common solution. This could be a way to treat not only Alzheimer's disease, but other neurological diseases as well."
이 이야기는 사실 암과도 관련되어 있습니다. 왜냐하면 신경학적 질병을 가진 사람들은 대부분의 암에는 잘 안 걸린다고 하거든요.,"There’s also a fascinating connection to cancer here, because people with neurologic diseases have a very low incidence of most cancers.",This story is actually related to cancer as well. Because people with neurological diseases are said to be immune to most cancers.,This story is actually related to cancer. Because people with neurological diseases are less likely to get most cancers.,"This story is actually related to cancer, because people with neurological diseases are said to be immune to most cancers."
"지금은 이 연관성에 대해서 연구가 활발히 진행되고 있진 않지만, 흥미로운 주제이긴 하죠.","And this is a connection that most people aren’t pursuing right now, but which we’re fascinated by.","Although this connection is not currently being actively researched, it is an interesting topic.","There is not much research on this connection right now, but it is an interesting topic.","There's not a lot of research on this connection right now, but it's an interesting topic."
이 분야에서 이루어지고 있는 대부분의 중요하고 창의적인 작업들은 자선 사업가의 금전적 지원으로 이루어집니다.,Most of the important and all of the creative work in this area is being funded by private philanthropies.,Much of the important and creative work being done in this field is done with the financial support of philanthropists.,Most of the important and creative work being done in this field is done with the financial support of philanthropists.,Much of the important and creative work being done in this space is funded by philanthropists.
"사실, 정부가 이 쪽 분야에 제대로 지원을 해주지 않아서 개인에 의지할 수 밖에 없게 된 것이죠. 좋은 상황은 아니죠.","And there’s tremendous scope for additional private help here, because the government has dropped the ball on much of this, I’m afraid.","In fact, the government did not provide proper support in this field, so we had no choice but to rely on individuals. It's not a good situation.","In fact, the government has not provided proper support in this field, so we have no choice but to rely on individuals. It's not a good situation.","In fact, the government hasn't really supported this area, so we're left to rely on individuals, which is not a good situation."
"한편, 앞으로 이런 질병들이 더 창궐할 것에 대비해서 여러분이 스스로 할 수 있는 예방법을 몇 가지 설명드릴게요.","In the meantime, while we’re waiting for all these things to happen, here’s what you can do for yourself.","Meanwhile, in preparation for these diseases becoming more prevalent in the future, I will explain some preventive measures you can take on your own.","On the other hand, I will explain some preventive measures you can do on your own in case these diseases become more prevalent in the future.","In the meantime, here are a few things you can do on your own to prevent these diseases from becoming more prevalent in the future."
"파킨슨 병에 걸릴 가능성을 줄이고 싶으시다면, 카페인이 어느 정도 도움이 됩니다. 왜 그런지는 안 밝혀졌지만요.","If you want to lower your risk of Parkinson’s disease, caffeine is protective to some extent; nobody knows why.","If you want to reduce your risk of developing Parkinson's disease, caffeine can help to some extent. It's not clear why.","If you're looking to reduce your chances of developing Parkinson's disease, caffeine can help to some extent. I don't know why.","If you want to reduce your chances of developing Parkinson's disease, caffeine helps to some extent, though it's not clear why."
머리를 다치면 좋지 않습니다. 파킨슨 병과 직접 연관되어 있죠.,Head injuries are bad for you. They lead to Parkinson’s disease.,Injuring your head is not good. It is directly related to Parkinson's disease.,It is not good if you injure your head. It is directly related to Parkinson's disease.,"It's not good to hit your head, it's directly linked to Parkinson's disease."
조류 독감도 좋지 않은 영향을 미칩니다.,And the Avian Flu is also not a good idea.,Bird flu also has negative effects.,Bird flu also has a bad effect.,Bird flu is also a bad thing.
"알츠하이머 병의 예방법에 대해서도 좀 말씀드릴게요. 먼저 물고기 기름, 어유가 알츠하이머 병의 예방에 좋다고 합니다.","As far as protecting yourself against Alzheimer’s disease, well, it turns out that fish oil has the effect of reducing your risk for Alzheimer’s disease.","I will also tell you a little about how to prevent Alzheimer's disease. First of all, fish oil and fish oil are said to be good for preventing Alzheimer's disease.","I would also like to talk about how to prevent Alzheimer's disease. First of all, fish oil and fish oil are said to be good for preventing Alzheimer's disease.","I'm going to talk a little bit about how to prevent Alzheimer's disease. First of all, fish oil, fish oil is good for preventing Alzheimer's disease."
고혈압이 되지 않도록 관리를 잘 하셔야 하고요. 만성 고혈압은 알츠하이머 병과 직접 연결된 가장 중요한 단일 위험 요소입니다.,"You should also keep your blood pressure down, because chronic high blood pressure is the biggest single risk factor for Alzheimer’s disease.",You need to take good care of your blood pressure to avoid developing high blood pressure. Chronic high blood pressure is the single most important risk factor directly linked to Alzheimer's disease.,You need to take good care of your blood pressure so that you don't get high blood pressure. Chronic hypertension is the single most important risk factor directly linked to Alzheimer's disease.,And make sure you don't get high blood pressure. Chronic high blood pressure is the single most important risk factor directly linked to Alzheimer's disease.
"녹내장이 있으신 분도 주의하셔야 해요. 녹내장은 ""눈에 걸린 알츠하이머 병""이거든요.","It’s also the biggest risk factor for glaucoma, which is just Alzheimer’s disease of the eye.",People with glaucoma should also be careful. Glaucoma is “Alzheimer’s disease of the eyes.”,"People with glaucoma should also be careful. Glaucoma is ""Alzheimer's disease in the eyes"".","People with glaucoma should also be careful, as it's ""Alzheimer's in the eyes""."
